Gen;Avg Gen Fitness;Fit of Gen best;Fit of Total Best;total best contact cnt;total best overlaps cnt;crossover rate;mutation rate
361;9,597667;10,000000;10,000000;10;0;0,000000;0,000000
362;9,477024;10,000000;10,000000;10;0;0,000000;0,000000
363;9,679167;10,000000;10,000000;10;0;0,000000;0,000000
364;9,756667;10,000000;10,000000;10;0;0,000000;0,000000
365;9,705000;10,000000;10,000000;10;0;0,000000;0,000000
366;9,680000;10,000000;10,000000;10;0;0,000000;0,000000
367;9,728333;10,000000;10,000000;10;0;0,000000;0,000000
368;9,632619;10,000000;10,000000;10;0;0,000000;0,000000
369;9,710952;10,000000;10,000000;10;0;0,000000;0,000000
370;9,758333;10,000000;10,000000;10;0;0,000000;0,000000
371;9,772083;10,000000;10,000000;10;0;0,000000;0,000000
372;9,801667;10,000000;10,000000;10;0;0,000000;0,000000
373;9,805000;10,000000;10,000000;10;0;0,000000;0,000000
374;9,802857;10,000000;10,000000;10;0;0,000000;0,000000
375;9,748000;10,000000;10,000000;10;0;0,000000;0,000000
376;9,553278;10,000000;10,000000;10;0;0,000000;0,000000
377;9,595167;10,000000;10,000000;10;0;0,000000;0,000000
378;9,830000;10,000000;10,000000;10;0;0,000000;0,000000
379;9,830000;10,000000;10,000000;10;0;0,000000;0,000000
380;9,860000;10,000000;10,000000;10;0;0,000000;0,000000
381;9,855000;10,000000;10,000000;10;0;0,000000;0,000000
382;9,856875;10,000000;10,000000;10;0;0,000000;0,000000
383;9,856667;10,000000;10,000000;10;0;0,000000;0,000000
384;9,854500;10,000000;10,000000;10;0;0,000000;0,000000
385;9,624143;10,000000;10,000000;10;0;0,000000;0,000000
386;9,538500;10,000000;10,000000;10;0;0,000000;0,000000
387;9,576500;10,000000;10,000000;10;0;0,000000;0,000000
388;9,575762;10,000000;10,000000;10;0;0,000000;0,000000
389;9,691429;10,000000;10,000000;10;0;0,000000;0,000000
390;9,698125;10,000000;10,000000;10;0;0,000000;0,000000
391;9,785000;10,000000;10,000000;10;0;0,000000;0,000000
392;9,640000;10,000000;10,000000;10;0;0,000000;0,000000
393;9,770000;10,000000;10,000000;10;0;0,000000;0,000000
394;9,713667;10,000000;10,000000;10;0;0,000000;0,000000
395;9,735000;10,000000;10,000000;10;0;0,000000;0,000000
396;9,813000;10,000000;10,000000;10;0;0,000000;0,000000
397;9,764111;10,000000;10,000000;10;0;0,000000;0,000000
398;9,881667;10,000000;10,000000;10;0;0,000000;0,000000
399;9,830000;10,000000;10,000000;10;0;0,000000;0,000000
400;9,835000;10,000000;10,000000;10;0;0,000000;0,000000
401;9,790000;10,000000;10,000000;10;0;0,000000;0,000000
402;9,821667;10,000000;10,000000;10;0;0,000000;0,000000
403;9,901667;10,000000;10,000000;10;0;0,000000;0,000000
404;9,839375;10,000000;10,000000;10;0;0,000000;0,000000
405;9,855694;10,000000;10,000000;10;0;0,000000;0,000000
406;9,841111;10,000000;10,000000;10;0;0,000000;0,000000
407;9,815000;10,000000;10,000000;10;0;0,000000;0,000000
408;9,785000;10,000000;10,000000;10;0;0,000000;0,000000
409;9,827500;10,000000;10,000000;10;0;0,000000;0,000000
410;9,787143;10,000000;10,000000;10;0;0,000000;0,000000
411;9,759444;10,000000;10,000000;10;0;0,000000;0,000000
412;9,785000;10,000000;10,000000;10;0;0,000000;0,000000
413;9,751000;10,000000;10,000000;10;0;0,000000;0,000000
414;9,670000;10,000000;10,000000;10;0;0,000000;0,000000
415;9,705000;10,000000;10,000000;10;0;0,000000;0,000000
416;9,755000;10,000000;10,000000;10;0;0,000000;0,000000
417;9,835000;10,000000;10,000000;10;0;0,000000;0,000000
418;9,769000;10,000000;10,000000;10;0;0,000000;0,000000
419;9,687750;10,000000;10,000000;10;0;0,000000;0,000000
